instance	n	subtree	mutation_count	RSS	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
m5_S37_k2_eps0.2.P_eps.txt	5	4	85	9.84032	 0	 0	 0	 0	 0	 0	 0	 0.04609015	 0.2333538	 0	 0.06572765	 0	 0.01420858	 0	 0	 0.4849967	 0.004945669	 0	 0.02683307	 0	 0.0491305	 0.01181223	 0.02722894	 0	 0	 0	 0.0248815	 0.01079113	 0	 0
m5_S37_k2_eps0.3.P_eps.txt	5	1;3;5	191	40.5574	 0	 0.001537804	 0.2050105	 0	 0	 0	 0.01355445	 0	 0.1622554	 0	 0	 0.01205311	 0.2705646	 0.02045964	 0.002927311	 0.008353855	 0.07041039	 0.02903819	 0	 0.008144087	 0.02985715	 0	 0	 0.01661353	 0	 0	 0.14922	 0	 0	 0
m5_S37_k2_eps0.3.P_eps.txt	5	2	49	11.98349	 0	 0	 0	 0	 0	 0	 0.2289103	 0.2079423	 0	 0	 0.01522954	 0	 0	 0	 0.01548661	 0	 0	 0.04202587	 0.1067792	 0	 0	 0.1531614	 0	 0	 0.1676648	 0.05776629	 0.005033647	 0	 0	 0
m5_S37_k2_eps0.3.P_eps.txt	5	4	108	11.20153	 0.036163	 0.1433158	 0	 0	 0.01073197	 0.02235591	 0.0341628	 0	 0	 0.008297452	 0	 0	 0	 0	 0	 0	 0	 0.1799776	 0.08817838	 0.07816925	 0	 0	 0	 0	 0	 0.008229411	 0	 0.0665897	 0.224242	 0.09958672
m5_S45_k0_eps0.1.P_eps.txt	5	1;3;2;5;4	520	44.56247	 0	 0	 0.02542096	 0	 0	 0.01523859	 0	 0.03050003	 0.1418441	 0.01344585	 0.00757964	 0.04719774	 0.02497215	 0.01881852	 0.006655038	 0	 0.02734197	 0.3933207	 0.004876398	 0.007543136	 0	 0.02158774	 0	 0.0229395	 0	 0.05302773	 0.07687928	 0.0427066	 0.01810436	 0
m5_S45_k0_eps0.2.P_eps.txt	5	1;3;2;5;4	549	66.04638	 0.1481358	 0.08925004	 0.2033427	 0.01190806	 0	 0.04073205	 0.05855868	 0	 0.05668355	 0.05893229	 0.08180026	 0	 0	 0.01728383	 0.03711833	 0.005146305	 0.1390352	 0.008974144	 0.003587275	 0	 0	 0	 0.008642072	 0	 0	 0.0272209	 0	 0	 0	 0.003648474
m5_S45_k0_eps0.3.P_eps.txt	5	1;3;2;5;4	537	72.0038	 0	 0.2273069	 0	 0	 0	 0	 0	 0	 0	 0.02747539	 0	 0	 0	 0	 0	 0.02259545	 0	 0.6634026	 0.006104643	 0	 0	 0	 0	 0	 0	 0	 0	 0.053115	 0	 0
m5_S45_k1_eps0.1.P_eps.txt	5	1;3;2;5	335	29.51938	 0	 0.001688118	 0	 0	 0	 0	 0	 0.06840556	 0.2697198	 0	 0	 0	 0.02235255	 0	 0.01119136	 0.1562506	 0	 0	 0	 0.01483348	 0.04381407	 0	 0.003359207	 0.1374639	 0	 0.03411533	 0.0344938	 0.002827053	 0	 0.1994852
m5_S45_k1_eps0.1.P_eps.txt	5	4	32	3.738764	 0	 0	 0	 0	 0	 0.1051466	 0.07717618	 0	 0	 0	 0.1324321	 0	 0	 0.0864208	 0	 0	 0	 0.2273712	 0.2342598	 0	 0	 0	 0.08382733	 0	 0	 0	 0.05336599	 0	 0	 0
m5_S45_k1_eps0.2.P_eps.txt	5	1;3;2;4	492	44.27485	 0	 0.02491667	 0	 0.09365258	 0.0008799321	 0	 0	 0.2258147	 0.005939615	 0.01476573	 0.07277349	 0.02506524	 0	 0.01202059	 0.06788459	 0.01969462	 0	 0	 0	 0.08513095	 0.03021972	 0.01269567	 0	 0.05438744	 0.007445383	 0.2467131	 0	 0	 0	 0
m5_S45_k1_eps0.2.P_eps.txt	5	5	158	7.49976	 0.02028719	 0.1558743	 0	 0	 0	 0.07338662	 0.01526584	 0	 0	 0.02779365	 0	 0	 0.1724142	 0	 0	 0.03999342	 0.0340377	 0	 0.01762301	 0.0862633	 0	 0	 0.02192704	 0.005261373	 0.04784973	 0.02314672	 0.03100974	 0	 0.2278662	 0
m5_S45_k1_eps0.3.P_eps.txt	5	1	112	14.07738	 0.03001267	 0	 0.1025719	 0.1100005	 0.1247914	 0.03771389	 0	 0	 0	 0.03637648	 0	 0.02443216	 0.05997341	 0.02608835	 0.01499916	 0	 0.09529299	 0	 0	 0.01341098	 0.01242296	 0.1696135	 0.04045714	 0.02819579	 0	 0	 0	 0.0289527	 0.01234461	 0.03234931
m5_S45_k1_eps0.3.P_eps.txt	5	3;2;5;4	409	57.74615	 0.01626126	 0.04157495	 0	 0	 0.1688119	 0	 0	 0.03283895	 0	 0.1233446	 0	 0.02263495	 0	 0	 0	 0.03782983	 0.1584176	 0	 0.008507949	 0.006362895	 0.03895366	 0.09454803	 0	 0	 0	 0.09750241	 0.1245281	 0	 0.02788283	 0
m5_S45_k2_eps0.1.P_eps.txt	5	1	41	5.461383	 0.06897554	 0.01512173	 0	 0	 0	 0.009671923	 0.01581384	 0	 0	 0.1033811	 0	 0.2755681	 0.270873	 0	 0.05349079	 0	 0.0552892	 0	 0	 0	 0.08503746	 0	 0.02518719	 0	 0	 0	 0	 0.02159003	 0	 0
m5_S45_k2_eps0.1.P_eps.txt	5	3;4	318	15.67004	 0.006778965	 0.01518487	 0	 0	 0.000512693	 0.01414742	 0.0248507	 0.00613686	 0.176078	 0.113426	 0.04689526	 0.1006408	 0	 0	 0.04811627	 0	 0.02192841	 0	 0.05564115	 0	 0.03489088	 0	 0.01153955	 0	 0.1177128	 0.02138904	 0.09226513	 0.07725518	 0	 0.01460992
m5_S45_k2_eps0.1.P_eps.txt	5	2;5	164	16.97066	 0	 0.01276982	 0	 0	 0	 0.05929061	 0.2009762	 0	 0	 0	 0.03062398	 0	 0.2157415	 0.02383115	 0	 0	 0.04517931	 0	 0.1968937	 0	 0	 0	 0.01074207	 0.02391403	 0	 0.1003495	 0.07968816	 0	 0	 0
m5_S45_k2_eps0.2.P_eps.txt	5	1;3;2;5	346	44.00974	 0.02678744	 0.04848634	 0.1152236	 0	 0.08865207	 0.06987068	 0.0248923	 0	 0	 0.0983931	 0.1875479	 0	 0	 0.005723892	 0.0407982	 0	 0.003753104	 0.1425246	 0	 0.009289683	 0.01791188	 0	 0	 0	 0.01513344	 0.04619123	 0	 0.03057316	 0.02824736	 0
